restaurant_name,location,primary_cuisine,cuisine_tags,cost,budget_label,rating,votes,address,affordability
Little Bites,Mg Road,Cafe,"['Cafe', 'Fast Food']",,,4.4,7,"Mahalakshmi Chambers, MG Road, Bangalore",unknown
Dad's Coffee Club,Residency Road,North Indian,"['North Indian', 'South American', 'Cafe']",,,2.8,0,"D-7, Devatha Plaza, Shanthala Nagar, Ashok Nagar, Residency Road, Bangalore",unknown
Dasaprakash Cafe,Mg Road,Cafe,['Cafe'],,,3.3,10,"Lower walkway, Rangoli Metro Art Center, Boulevard, MG Road, Bangalore",unknown
Smokie Brownie,Brigade Road,Cafe,['Cafe'],,,4.7,7,"1st Floor, St.Patricks Complex, Brigade Road, Bangalore",unknown
Berrylicious Cafe,Mg Road,Continental,"['Continental', 'Cafe', 'Desserts', 'Pizza', 'North Indian', 'Chinese', 'Ice Cream']",,,4.4,125,"4/1, Brunton Road, MG Road, Bangalore",unknown
Aubree,Shivajinagar,Cafe,"['Cafe', 'Bakery']",,,4.0,0,"307, Thimmaiah Rd, Govinda Chetty Colony, Shivajinagar, Bangalore",unknown
The Bao Belly,Residency Road,Cafe,['Cafe'],,,3.5,9,"#10 B, Ground floor , Devatha Plaza, Residency road, Residency Road, Bangalore",unknown
X-tra Cafe,Brigade Road,Cafe,"['Cafe', 'Fast Food']",,,3.1,0,"Mango Hotels - Purple Brigade 27, Rest House Road, Off Brigade Road, Bangalore",unknown
The Corner - Hyatt Centric MG Road,Ulsoor,Cafe,"['Cafe', 'Desserts', 'Fast Food']",,,3.4,0,"Hyatt Centric MG Road 1/1, Swami Vivekananda Road, Ulsoor, Bangalore",unknown
Lazzet Lee,Lavelle Road,Mughlai,"['Mughlai', 'Cafe']",,,4.2,0,"Koppa Road, Yellanahalli Village, Begur Road, Lavelle Road, Bangalore",unknown
Norsha Caffe,Commercial Street,Cafe,['Cafe'],,,3.6,6,"2, Dickenson Road, FM Cariappa Colony, Sivanchetti Gardens, Commercial Street, Bangalore",unknown
The Coffee Bean & Tea Leaf,Mg Road,Cafe,['Cafe'],,,4.0,260,"1st Floor, 1 MG Road Mall, Trinity Circle, Opposite Taj Vivanta, MG Road, Bangalore",unknown
Kalmane Koffees,Brigade Road,Cafe,['Cafe'],,,3.2,46,"Second Floor, Garuda Mall, Magrath Road",unknown
Third Wave Coffee Roasters @ The Bohemian House,Richmond Road,Cafe,"['Cafe', 'Continental', 'Desserts']",,,4.2,0,"The Bohemian House, 5, Raja Ram Mohan Roy Road, Richmond Road, Bangalore",unknown
Hammered,Cunningham Road,North Indian,"['North Indian', 'Thai', 'Japanese', 'Continental', 'Cafe']",,,3.9,4677,"18, Ali Askar Road, Cunningham Road, Bangalore",unknown
The Culinarium,Vasanth Nagar,Cafe,"['Cafe', 'Desserts', 'Beverages']",,,3.3,23,"The Hatworks Boulevard, 32, Cunningham Road, Bangalore",unknown
Dolci Desserts,Cunningham Road,Cafe,"['Cafe', 'Desserts']",,,3.2,655,"18/3, Ali Askar Road, Near Kingfisher Airlines Office, Cunningham Road, Bangalore",unknown
Step Right Up,Vasanth Nagar,Cafe,"['Cafe', 'Italian']",,,3.2,153,"46, 8th Main Road, Vasanth Nagar, Bangalore",unknown
Infinitea Tea Room & Tea Store,Cunningham Road,Continental,"['Continental', 'Cafe', 'Desserts', 'Salad', 'Momos']",,,4.1,860,"2, Shah Sultan Complex, Cunningham Road, Bangalore",unknown
Mudpipe Cafe,Cunningham Road,Cafe,"['Cafe', 'Continental', 'Italian', 'Burger']",,,3.0,740,"37/1, 3rd, 4th, 5th Floor. Oppsite Sigma Mall, Cunningham Road, Bangalore",unknown
The Courtyard,Shanti Nagar,Cafe,"['Cafe', 'Italian']",,,5.0,297,"105, Double Road, Shanti Nagar, Bangalore",unknown
Barista,Shanti Nagar,Cafe,['Cafe'],,,3.0,35,"4/4, Shaughnessy Road, Opposite Divyashree Chambers, Shanti Nagar, Bangalore",unknown
Chels Cafe,Cunningham Road,Cafe,"['Cafe', 'Burger']",,,3.3,20,"50, Little Plaza, Cunningham Road",unknown
BanBay,Vasanth Nagar,Cafe,"['Cafe', 'Modern Indian', 'Pizza', 'Burger', 'Desserts']",,,3.6,44,"32, Ground Floor, Grace Arcade, Miller Tank Bund Road, Kaveriappa Layout, Vasanth Nagar, Bangalore",unknown
Bread and Circus,Shanti Nagar,Cafe,"['Cafe', 'Fast Food', 'Pizza', 'Burger']",,,3.5,50,"Lal Bagh Main Road, Sampangi Rama Nagar, Near Shanti Nagar, Bangalore",unknown
Bangalore Masala House,Vasanth Nagar,Cafe,"['Cafe', 'Continental', 'Fast Food']",,,3.5,255,"46, 8th Main, Vasanth Nagar, Bangalore",unknown
Smoothies Cafe,Hbr Layout,Cafe,"['Cafe', 'Fast Food', 'Juices']",,,3.0,0,"201C HBR layout, 2nd block, HBR Layout, Bangalore",unknown
X Cafe,Shanti Nagar,American,"['American', 'Cafe', 'Chinese', 'Italian', 'Desserts']",,,2.9,0,"19, Mantho Convention Center, Shanti Nagar, Bangalore",unknown
Talk Ease,City Market,Cafe,['Cafe'],,,4.1,10,"20, Poornima Theatre Compound, 1st Cross J C Road, City Market, Bangalore",unknown
Irene's Cafe & Deli - Citrus Hotels,Cunningham Road,Cafe,['Cafe'],,,4.7,0,"Citrus Hotels, 34, Cunningham Road, Bangalore",unknown
Tea and Wine Lounge,Race Course Road,Cafe,"['Cafe', 'Tea', 'Desserts']",,,3.8,10,"Radisson Blu, 1, Palace Road, Race Course Road, Bangalore",unknown
Ghar Ki Rasoi,Indiranagar,North Indian,"['North Indian', 'Chinese', 'Italian']",,,4.4,48,"1st Stage, Indiranagar, Bangalore",unknown
Behrouz Biryani,Vasanth Nagar,Biryani,['Biryani'],,,4.1,128,"10th Main, Vasanth Nagar, Bangalore",unknown
Eat At Nite,Frazer Town,North Indian,"['North Indian', 'Chinese', 'Rolls']",,,4.8,57,"60, Munimarappa Road, Jayamahal, Frazer Town, Bangalore",unknown
Ovenstory Pizza,Vasanth Nagar,Pizza,['Pizza'],,,2.7,97,"1/1, Bluemoon Chambers,10th Cross, 10th Main, Vasanth Nagar, Bangalore",unknown
Empire Restaurant,Church Street,North Indian,"['North Indian', 'Mughlai', 'South Indian', 'Chinese']",,,4.4,3213,"36, Off MG Road, Church Street, Bangalore",unknown
Faasos,Vasanth Nagar,North Indian,"['North Indian', 'Biryani', 'Fast Food']",,,4.7,101,"1/1, Bluemoon Chambers,10th Main, Vasanth Nagar, Bangalore",unknown
Deshi Fusion Pizza,Old Madras Road,Pizza,"['Pizza', 'Chinese', 'Rolls']",,,3.4,73,"23, New Binnamangala, 1st Stage, Old Madras Road, Bangalore",unknown
The Charcoal Factory,Koramangala 6Th Block,Burger,"['Burger', 'Pizza', 'Momos']",,,4.9,291,"Near Bharat Residency, MM Garden, Koramangala 6th Block, Bangalore",unknown
Karama Restaurant,Frazer Town,Arabian,"['Arabian', 'North Indian', 'Beverages']",,,5.0,2866,"55, Mosque Road, Frazer Town, Bangalore",unknown
Midnight Eats,Frazer Town,North Indian,"['North Indian', 'Chinese']",,,3.8,114,"Near Bharathi Nagar, Frazer Town, Bangalore",unknown
Masala Central,Frazer Town,North Indian,['North Indian'],,,3.6,75,"Shop 15, St.Johns Church Road, Cleveland Town, Frazer Town, Bangalore",unknown
Firangi Bake,Indiranagar,Mexican,"['Mexican', 'Italian']",,,3.8,58,"Shop 6, First Floor, Binnamangala First Stage, Indiranagar, Bangalore",unknown
Popat Juice Junction,Ulsoor,Beverages,"['Beverages', 'Juices']",,,3.1,0,"Shop 1, 1st Main Road, Appaiah Garden, Jogupalaya, Near Ulsoor, Bangalore",unknown
Mama Mia!,Indiranagar,Desserts,"['Desserts', 'Cafe']",,,3.5,423,"12th Main Road Junction, Double Road, Indiranagar, Bangalore",unknown
Smally's Resto Cafe,Ulsoor,Cafe,"['Cafe', 'Italian', 'Burger', 'American', 'Steak']",,,4.2,1852,"Skywalk, 5/1, Near Body Craft, Assaye Road, Ulsoor, Bangalore",unknown
WAFL CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Residency Road,Cafe,"['Cafe', 'Fast Food', 'Desserts', 'Beverages']",,,3.0,85,"G1 Smart Avenue, 28, Residency Road, Bangalore",unknown
InnerChef,Indiranagar,North Indian,"['North Indian', 'Continental']",,,4.3,270,"4, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",unknown
Frozen Bottle,Infantry Road,Beverages,"['Beverages', 'Desserts', 'Ice Cream']",,,4.4,19,"3A, The Touchstone, Main Guard Cross Road, Off Cubbon Road, Tasker Town, Infantry Road, Bangalore",unknown
Dakshin Biryani & Tiffin,Indiranagar,Andhra,"['Andhra', 'South Indian', 'North Indian']",,,3.2,334,"542, 1st Floor, CMH Road, Indiranagar Metro Station, Indiranagar, Bangalore",unknown
99 Pancakes,Church Street,Desserts,"['Desserts', 'Ice Cream']",,,4.7,41,"16/3, Phoenix Arcade, Ground Floor, Shanthala Nagar, Ashok Nagar, Church Street, Bangalore",unknown
Midnight Hunger Solutions 24/7,Indiranagar,North Indian,"['North Indian', 'Mughlai', 'Chinese']",,,3.8,254,"17, 17th F Main, CMH Road, Indiranagar, Bangalore",unknown
Popat,Indiranagar,North Indian,['North Indian'],,,4.5,41,"73/1, Shamanna Gowda Layout, 1st Main Channel Road, Jogupalaya, Indiranagar, Bangalore",unknown
Church Street Social,Church Street,American,"['American', 'North Indian', 'Chinese', 'Finger Food', 'Momos']",,,3.7,7547,"46/1, Cobalt Building, Church Street, Bangalore",unknown
Shanmukha,Old Airport Road,Biryani,"['Biryani', 'Andhra', 'North Indian', 'Chinese']",,,4.4,143,"6th Cross Road, HAL 2nd Stage, Old Airport Road, Bangalore",unknown
Domino's Pizza,Shanti Nagar,Pizza,"['Pizza', 'Fast Food']",,,4.7,266,"2/13, Ground Floor, Rehinus Street, Opposite Hockey Stadium, Shanti Nagar, Bangalore",unknown
Roti Shotti,Jeevan Bhima Nagar,North Indian,['North Indian'],,,3.9,61,"L 10, Opposite NAL Quarters Gate, Jeevan Bhima Nagar, Bangalore",unknown
Kanteen 038,Indiranagar,Tea,"['Tea', 'Beverages', 'Fast Food']",,,4.5,51,"Citi Nest 91/72, 7th Cross, Eshwara Layout, Indiranagar, Bangalore",unknown
Sandhya Veg,Brigade Road,South Indian,"['South Indian', 'Chinese']",,,4.2,56,"29, Castle Street, Ashok Nagar, Bridge Road, Brigade Road, Bangalore",unknown
The Good Bowl,Vasanth Nagar,Italian,"['Italian', 'North Indian', 'Biryani']",,,4.8,10,"Shop 1, 10Th Main 10Th Cross Road, Vasanth Nagar, Bangalore",unknown
Burger King,Indiranagar,Burger,"['Burger', 'Fast Food', 'Beverages']",,,4.4,1393,"Next to CMH Metro Station, CMH Road, Indiranagar, Bangalore",unknown
Imperial Restaurant,Indiranagar,North Indian,"['North Indian', 'Chinese', 'Biryani', 'Kebab', 'Juices']",,,4.1,239,"1324, Double Road, 2nd Stage, Opposite Cauvery School, Indiranagar, Bangalore",unknown
eat.fit,Church Street,Healthy Food,"['Healthy Food', 'North Indian', 'Biryani']",,,3.3,94,"24, Church Street, Bangalore",unknown
Beijing Bites,Richmond Road,Chinese,"['Chinese', 'Thai']",,,4.1,262,"11/2 Ground Floor, Sigma Trident, Off Richmond Road, Richmond Road, Bangalore",unknown
M.M.A Kababs Rolls & Biryani Center,Old Madras Road,Arabian,"['Arabian', 'Mughlai', 'Chinese', 'Kebab', 'Fast Food']",,,3.5,67,"Opposite Indiranagar Bus Depot, Old Madras Road, Bangalore",unknown
Instant Noodle Doodle,Frazer Town,Fast Food,['Fast Food'],,,3.5,0,"15, St John's Church Road, Cleveland Town, Frazer Town, Bangalore",unknown
Dakshin Restaurant,Brigade Road,Mangalorean,"['Mangalorean', 'Seafood', 'North Indian', 'Chinese']",,,4.8,16,"Shop 48, Opposite 5th Avenue, Brigade Garden, Brigade Road, Bangalore",unknown
The Mughal's,Frazer Town,Mughlai,"['Mughlai', 'North Indian', 'Chinese']",,,3.4,89,"86, MM Road, Pulikeshi Nagar, Frazer Town, Bangalore",unknown
Donne Biriyani House,Indiranagar,Biryani,['Biryani'],,,3.6,474,"8/ 9, 17th F Cross, 2nd Stage, Indiranagar, Bengaluru",unknown
Richie Rich,Race Course Road,Desserts,"['Desserts', 'Beverages', 'Fast Food', 'Ice Cream']",,,4.1,624,"Shivananda Circle, Near Lalit Ashok, Race Course Road, Bangalore",unknown
Xpress Biryani,Ulsoor,Biryani,"['Biryani', 'North Indian', 'Kebab']",,,3.0,148,"102, 5/1 Assays Road, 5th Block, Sindhi Colony, Ulsoor, Bangalore",unknown
Pathaan Sir,Indiranagar,Fast Food,"['Fast Food', 'Rolls', 'Momos']",,,4.9,156,"Srinivasan Towers, ESI Hospital Road, Off Double Road, Indiranagar, Bangalore",unknown
XO Belgian Waffle,Brigade Road,Desserts,"['Desserts', 'Beverages']",,,3.3,216,"Kiosk 5, Third Floor, Food Court, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road, Bangalore",unknown
Meghana Foods,Residency Road,Biryani,"['Biryani', 'Seafood', 'Andhra', 'North Indian']",,,4.3,2139,"57/1, 1st Floor, Jayalaxmi Chambers, Next to Old Galaxy Theatre, Residency Road, Bangalore",unknown
Sweet Truth,Vasanth Nagar,Bakery,"['Bakery', 'Desserts']",,,4.6,21,"1/1, Bluemoon Chambers, 10th Main Road, Vasanth Nagar, Bangalore",unknown
Ascharya Hotel,Koramangala 5Th Block,Mangalorean,"['Mangalorean', 'South Indian']",,,3.5,11,"Plot 62, Nanjappa Layout, Adugodi Main Road, Adugodi, Koramangala 5th Block, Bangalore",unknown
Smoke House Deli,Lavelle Road,European,"['European', 'Italian', 'Desserts', 'Salad', 'Juices', 'Steak']",,,4.6,2492,"52/ 53, Ground Floor, Lavelle Road, Bangalore",unknown
WOW! Momo,Brigade Road,Tibetan,"['Tibetan', 'Momos']",,,3.1,123,"185, Brigade Road, Bangalore",unknown
Kettle & Kegs,Cunningham Road,Tea,"['Tea', 'Beverages']",,,5.0,0,"Cunningham Road, Bangalore",unknown
Bangalore Bytes,Brigade Road,Fast Food,"['Fast Food', 'South Indian', 'Biryani']",,,4.4,121,"70/2, Markham Road, Ashok Nagar, Brigade Road, Bangalore",unknown
Pathy's Kitchen,Indiranagar,Andhra,['Andhra'],,,3.6,21,"49/1, 14th A Cross, 2nd Stage, Indiranagar, Bangalore",unknown
Hammered,Cunningham Road,North Indian,"['North Indian', 'Thai', 'Japanese', 'Continental', 'Cafe']",,,3.8,4677,"18, Ali Askar Road, Cunningham Road, Bangalore",unknown
Nando's,Indiranagar,Portuguese,"['Portuguese', 'African']",,,4.0,1220,"1088, 12th Main, HAL 2nd Stage, Off 100 Feet Road, Indiranagar, Bangalore",unknown
Omleterian,Ulsoor,American,"['American', 'Continental']",,,3.8,0,"31, Sree Yellamma Temple Street, Ulsoor, Bangalore",unknown
Thai Chy,Indiranagar,Thai,"['Thai', 'Asian', 'Indonesian']",,,5.0,376,"197/A, Double Road, 2nd Stage, Opposite HDFC Bank, Indiranagar, Bangalore",unknown
FreshMenu,Richmond Road,Healthy Food,"['Healthy Food', 'Chinese', 'Biryani', 'North Indian', 'Continental', 'Salad', 'American', 'Burger']",,,3.5,377,"Richmond Town, Richmond Road, Bangalore",unknown
Danny Lambas Punjabi Dhaba,Indiranagar,North Indian,"['North Indian', 'Chinese', 'Biryani']",,,3.9,98,"17, BDA Complex, Off Double Road, Indiranagar, Bangalore",unknown
New Alameen Restaurant,Ulsoor,Kerala,"['Kerala', 'North Indian', 'Chinese']",,,3.9,24,"22, Bazar Street, Ulsoor, Bangalore",unknown
The Bundle Co.,Mg Road,Burger,"['Burger', 'Continental', 'Italian', 'Beverages']",,,3.8,223,"Church Street, Shanthala Nagar, Ashok Nagar, MG Road, Bangalore",unknown
Leon Grill,St. Marks Road,Burger,"['Burger', 'Turkish', 'Arabian', 'Fast Food', 'Salad', 'Healthy Food', 'Desserts']",,,3.9,285,"Ground Floor, House of Lords, Shanthala Nagar, Sampangi Rama Nagar, St. Marks Road, Bangalore",unknown
Belgian Waffle Factory,Brigade Road,Desserts,['Desserts'],,,4.3,1744,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",unknown
Rahhams,Frazer Town,Mughlai,"['Mughlai', 'North Indian', 'Chinese']",,,4.4,850,"82, MM Road, Frazer Town, Bangalore",unknown
Shahi Family Restaurant,Ulsoor,North Indian,"['North Indian', 'Chinese', 'South Indian']",,,3.9,73,"12/1, Swami Vivekananda Road, Jayaraj Nagar, Someshwarpura, Ulsoor, Bangalore",unknown
Punjabi Dhaba,Ejipura,North Indian,"['North Indian', 'Chinese']",,,4.3,352,"385, 8th Main, 4th Block, Vivek Nagar, Ejipura, Bangalore",unknown
BIB-Breakfast In The Box,Ulsoor,American,"['American', 'Continental']",,,2.3,0,"31, Sree Yellamma Temple Street, Ulsoor, Bangalore",unknown
Tadkawala,Vasanth Nagar,North Indian,['North Indian'],,,4.4,70,"119/19, 2nd Floor, 8th Main Road, Vasanth Nagar, Bangalore",unknown
Gobble Up Churros Cafe,Ulsoor,Beverages,"['Beverages', 'Cafe', 'Desserts', 'Spanish', 'Bakery']",,,3.2,37,"Unit 7, Skywalk Building, Next to Body Craft , Assaye Road, Ulsoor, Bangalore",unknown
McDonald's,Ulsoor,Burger,"['Burger', 'Fast Food']",,,4.2,106,"Ground Floor, Lido Mall, Swami Vivekananda Road, Ulsoor, Bangalore",unknown
Meenu Oota Da Maane,Brigade Road,Seafood,"['Seafood', 'Mangalorean', 'Chinese']",,,4.7,23,"35, Ground Floor, Brigade Road, Shanthala Nagar, Bangalore",unknown
KFC,Cunningham Road,Burger,"['Burger', 'Fast Food']",,,3.6,206,"Ground Floor, 14, HM Geneva House, Cunningham Road, Bangalore",unknown
Dunkin' Donuts,Brigade Road,Burger,"['Burger', 'Desserts', 'Fast Food']",,,4.0,1079,"Mota Royal Arcade, Brigade Road, Bangalore",unknown
Mandarin Box,Church Street,Chinese,['Chinese'],,,3.1,79,"Hotel High Gates, 33, Church Street",unknown
Hotel Dil Coorg,Ulsoor,North Indian,"['North Indian', 'South Indian']",,,4.4,79,"80, G 10 Street, Jogupalya, Ulsoor, Bangalore",unknown
Corner House Ice Cream,Residency Road,Ice Cream,"['Ice Cream', 'Desserts']",,,4.2,635,"Shop 45/3, Gopalkrishna Complex, Near Mayo Hall, Off Residency Road, Residency Road, Bangalore",unknown
Little Green Cafe,Church Street,Cafe,"['Cafe', 'Healthy Food', 'Salad', 'Continental', 'Beverages', 'Italian', 'Sandwich']",,,5.0,788,"9/3, Prestige Pearl House, Museum Road, Church Street, Bangalore",unknown
Shawarma Time,Ulsoor,Arabian,['Arabian'],,,4.0,80,"5/1, Assaye Road, Doddigunta, Ulsoor, Bangalore",unknown
Somilan Steak House,Church Street,North Eastern,"['North Eastern', 'Asian', 'Naga', 'Steak', 'Momos']",,,4.1,527,"52/2, Sujay's Pride, Church Street, Bangalore",unknown
IceBreakers,Church Street,Desserts,"['Desserts', 'Ice Cream']",,,4.0,182,"50/1, Church Street, Near SBI, Bengaluru",unknown
New Taj,Ulsoor,North Indian,"['North Indian', 'Chinese']",,,4.3,110,"Opposite Sri Subramanya Swamy Temple, Next to Ulsoor Metro Station, Ulsoor, Bangalore",unknown
Donne Biryani House,Residency Road,Biryani,['Biryani'],,,3.2,70,"45, Opposite Mayo Hall, Residency Road, Bangalore",unknown
Venus Biryani,Domlur,Biryani,"['Biryani', 'Chinese']",,,3.9,144,"3rd Cross, 2nd Stage, Domlur, Bangalore",unknown
Chickpet Donne Biryani House,Commercial Street,Biryani,['Biryani'],,,4.0,45,"Choice Collections, Dispensary Road, Tasker Town, Commercial Street, Bangalore",unknown
Soda Bottle Opener Wala,Lavelle Road,Parsi,"['Parsi', 'North Indian']",,,4.8,3656,"25/4, Opposite Harley Davidson Showroom, Lavelle Road, Bangalore",unknown
Cafe Azzure,Mg Road,Cafe,"['Cafe', 'Continental', 'Italian', 'Burger']",,,3.9,2669,"52, Brigade Road, Haridevpur, Shanthala Nagar, MG Road, Bangalore",unknown
Le Gateau - The Cake Shop,Old Airport Road,Desserts,"['Desserts', 'Bakery']",,,3.4,536,"33/4, Narayanamma Garden, 8th Cross, Konen Agrahara, Murugeshpalya, Old Airport Road, Bangalore",unknown
Just Bake,Ulsoor,Bakery,"['Bakery', 'Desserts']",,,3.8,6,"5/1, Ground Floor, Skywalk Building, Assaye Road, Ulsoor, Bangalore",unknown
Meaza Ginger Multi Cuisine Restaurant,Indiranagar,North Indian,"['North Indian', 'Chinese', 'South Indian', 'Kerala']",,,3.3,91,"51, Near ESI Hospital, Double Road, Indiranagar, Bangalore",unknown
Eden Park,Cunningham Road,Andhra,"['Andhra', 'Biryani', 'Chinese', 'North Indian', 'Seafood', 'South Indian']",,,3.0,614,"21/1, Behind The Hindu, Cunningham Road, Bangalore",unknown
Mel's Korner,Church Street,Fast Food,['Fast Food'],,,4.0,95,"2, Church Street, Bangalore",unknown
Glen's Bakehouse,Lavelle Road,Bakery,"['Bakery', 'Cafe', 'Italian', 'Desserts']",,,4.5,1093,"24/1, Lavelle Road, Bangalore",unknown
Firewood Biryani,Residency Road,Biryani,"['Biryani', 'Kebab', 'Rolls']",,,4.6,454,"10, Bishop Cotton Complex, Next to Bangalore Club, Residency Road, Bangalore",unknown
Sahana's (Nati Style),Wilson Garden,North Indian,['North Indian'],,,4.4,47,"8th Main, 13th Cross, Wilson Garden, Bangalore",unknown
Savoury Restaurant,Frazer Town,Arabian,"['Arabian', 'North Indian', 'Chinese', 'Beverages']",,,3.4,1445,"27, Mosque Road, Frazer Town, Bangalore",unknown
Kabab Magic,Richmond Road,North Indian,"['North Indian', 'Kebab', 'Fast Food']",,,3.4,74,"17, Opposite Fatima Bakery, Richmond Road, Bangalore Richmond Road",unknown
Pasta Street,Cunningham Road,Italian,"['Italian', 'Pizza', 'Salad']",,,4.0,1623,"37/2, Chicago Avenue, Opposite Fortis Hospital, Cunningham Road, Bangalore",unknown
Arabian Tea,Commercial Street,Tea,"['Tea', 'Fast Food']",,,3.4,0,"No. 62, Lubbay Masjid Street, Commercial Street Cross, Commercial Street, Bangalore",unknown
Lassi Shop,Church Street,Beverages,"['Beverages', 'Ice Cream']",,,3.4,32,"41, Shanthala Nagar, Church Street, Bangalore",unknown
Mainland China,Church Street,Chinese,"['Chinese', 'Momos']",,,3.8,1401,"First Floor, 14, Church Street, Bangalore",unknown
Sreeraj Lassi Bar,Shanti Nagar,Beverages,"['Beverages', 'Desserts']",,,3.7,61,"4/5, 5th Cross, Laxmi Road, Shanti Nagar, Bangalore",unknown
The Tao Terraces,Mg Road,Thai,"['Thai', 'Japanese', 'Korean', 'Burmese', 'Chinese']",,,2.9,1913,"5th Floor, 1 MG Mall, Opposite Vivanta by Taj, MG Road, Bangalore",unknown
The Chef's Cake & Bakes,Richmond Road,Desserts,['Desserts'],,,3.2,0,"2, 6/1, 5th Main Road, Andra Colony, Vannarpet Layout, Vivek Nagar, Richmond Road, Bangalore",unknown
Chinese Corner,Church Street,Chinese,['Chinese'],,,2.9,0,"5, Triumph Tower, Church Street, Bangalore",unknown
MISU,St. Marks Road,Asian,"['Asian', 'Japanese', 'Korean', 'Indonesian', 'Malaysian', 'Singaporean']",,,4.2,1217,"4th Floor, Building 9, Halcyon Complex, St. Marks Road, Bangalore",unknown
Toscano,Lavelle Road,Italian,"['Italian', 'Salad']",,,3.4,1842,"2nd Floor, UB City, Vittal Mallya Road, Lavelle Road, Bangalore",unknown
Pizza Hut,Shanti Nagar,Pizza,"['Pizza', 'Fast Food']",,,5.0,235,"3, Shaughnes Say Road, Opposite Divya Shree Chambers, Shanti Nagar, Bangalore",unknown
Tata Cha,Church Street,Cafe,"['Cafe', 'Tea', 'North Indian']",,,4.6,67,"G-005, City Centre, 28/4, Church Street, Bangalore",unknown
Krispy Kreme,Richmond Road,Desserts,"['Desserts', 'Beverages']",,,3.8,47,"Ground Floor, Adarsh Opus, Campbell Road, Austin town, Richmond Road, Bangalore",unknown
Amritsari Kulcha Bite,Ulsoor,North Indian,['North Indian'],,,3.0,104,"41, Palani Mudaliar Street, Halasuru, Ulsoor, Bangalore",unknown
Five Star Chicken,Wilson Garden,Fast Food,"['Fast Food', 'Burger']",,,4.7,11,"299, B.T..S. Main Road, 14th Cross, Wilson Garden, Bangalore",unknown
Teppan Japanese Grill & Sushi Bar,Ulsoor,Japanese,['Japanese'],,,5.0,904,"1/3, 3rd Floor, Ulsoor, Bangalore",unknown
YumYumDilli,Indiranagar,North Indian,['North Indian'],,,3.9,51,"2nd Stage, Indiranagar, Bangalore",unknown
Wangs Kitchen,Ulsoor,Chinese,['Chinese'],,,4.5,22,"2, Ulsoor Road, Yellappa Chetty Layout, Ulsoor, Bangalore",unknown
Vasudev Adiga's,Church Street,South Indian,"['South Indian', 'North Indian', 'Chinese', 'Street Food']",,,3.3,53,"40, Church Street, Bangalore",unknown
Indian Chicken Biryani Point,Richmond Road,Biryani,"['Biryani', 'South Indian']",,,3.2,9,"117, Neelasandra Bazar Street, Rose Garden Bus Stop",unknown
Mudpipe Cafe,Cunningham Road,Cafe,"['Cafe', 'Continental', 'Italian', 'Burger']",,,3.8,740,"37/1, 3rd, 4th, 5th Floor. Oppsite Sigma Mall, Cunningham Road, Bangalore",unknown
Keventers,Commercial Street,Desserts,"['Desserts', 'Beverages', 'Ice Cream']",,,4.8,54,"67, Near Police Station, Commercial Street, Bangalore",unknown
Caferia,Frazer Town,Fast Food,"['Fast Food', 'Street Food']",,,3.0,4,"II Floor, Padma Shree Building, 5th Main, 9th Cross, Jaya Mahal Extension, Near Frazer Town, Bangalore",unknown
UBQ by Barbeque Nation,Mg Road,North Indian,"['North Indian', 'Bbq', 'Biryani', 'Kebab']",,,3.9,9,"Ground Floor, Swami Vivekanand Road, Lido Multiplex No ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ¼, MG Road, Bangalore",unknown
Healthie,Indiranagar,Healthy Food,"['Healthy Food', 'Beverages']",,,3.8,189,"4, 39/1, St Mary's Building, 2nd Stage, Indiranagar, Bangalore",unknown
Coastal Delight,Indiranagar,Seafood,"['Seafood', 'South Indian', 'North Indian', 'Mangalorean', 'Chinese']",,,3.9,198,"241, 13th Cross, 2nd Stage, CMH Road, Indiranagar, Bangalore",unknown
Sweet Chariot,Cunningham Road,Bakery,"['Bakery', 'Fast Food']",,,3.9,111,"Prestige Center Point, Beside Pizza Hut, Cunningham Road, Bangalore",unknown
No 10 Fort Cochin,St. Marks Road,Biryani,"['Biryani', 'Kerala', 'Seafood', 'South Indian']",,,4.0,194,"9, Halycon Complex, St. Marks Road, Bangalore",unknown
The Open Box,St. Marks Road,European,"['European', 'North Indian', 'Mediterranean', 'Asian', 'Salad']",,,3.8,2272,"9, 4th Floor, Halcyon Complex, St. Marks Road, Bangalore",unknown
Bangalore Shadi Biriyani,Vasanth Nagar,Chinese,"['Chinese', 'North Indian']",,,2.8,57,"72, 8th Main, Vasanth Nagar, Bangalore",unknown
Crazy Pizza,Brigade Road,Pizza,"['Pizza', 'Fast Food']",,,3.5,0,"3th Floor, Garuda Mall, Magrath Road, Ashok Nagar, Brigade Road Area, Brigade Road, Bangalore",unknown
Tandoor,Mg Road,North Indian,['North Indian'],,,4.7,1362,"28, Centenary Building, MG Road, Bangalore",unknown
Portland Steakhouse & Cafe,Mg Road,Steak,"['Steak', 'Italian', 'Continental', 'American', 'Burger', 'Bbq', 'Salad']",,,4.7,2040,"1, Brunton Road, 1st Cross, Ashok Nagar, MG Road, Bangalore",unknown
